werknemer_ID,functie,jaren_in_dienst,leeftijd,opleiding,communicatievaardigheid,expertise,niveau_veiligheidsonderzoek,verdacht_gedrag
13223,Data Scientist,12,35,WO,6.880687178693965,Generalist,B,False
198605,DevOps Engineer,4,27,MBO,5.657922664567494,ML-Ops,A,False
19448,Data Scientist,1,22,HBO,8.229013257853852,Generalist,B,False
226231,Data Scientist,1,33,WO,9.05573334751295,Geo,A,True
228585,Data Scientist,2,25,WO,8.63134709902264,Generalist,B,False
127415,Data Scientist,7,48,PhD,6.621554283077394,Agent-based modelling,B,False
163946,Data Scientist,6,50,MBO,8.280554179828446,Vision,B,False
81538,Data Engineer,3,35,PhD,6.526161568622593,Data storage,B,False
169826,Data Engineer,5,28,HBO,8.301276013796398,Generalist,B,False
101220,DevOps Engineer,16,39,MBO,6.849496218605216,ML-Ops,C,False
57176,Staf,6,38,MBO,7.598205499314979,Other,C,False
186393,Data Scientist,11,34,WO,5.1283686774895205,Generalist,B,False
30870,DevOps Engineer,4,29,WO,5.3922062206254395,ML-Ops,B,False
57542,Staf,1,32,PhD,7.028122751752836,Other,B,False
160874,DevOps Engineer,0,30,MBO,8.178642648090142,ML-Ops,B,False
123687,Data Engineer,0,29,MBO,7.936211830440102,Data pipelines,C,False
90536,Data Scientist,6,35,HBO,6.712111804625485,Generalist,B,False
181137,DevOps Engineer,8,31,PhD,6.114227417172095,ML-Ops,B,False
14891,DevOps Engineer,6,34,WO,6.741599609598653,ML-Ops,B,False
201581,Data Scientist,7,30,MBO,6.727363942173124,Generalist,B,False
105254,Data Scientist,5,29,MBO,8.633942131710187,Generalist,A,False
190594,Data Engineer,12,38,WO,5.4080067416375455,Data storage,A,False
34169,Data Engineer,1,22,HBO,6.622803753705805,Generalist,B,False
130680,DevOps Engineer,6,34,HBO,5.350744291819677,ML-Ops,B,False
166875,Data Scientist,0,37,WO,8.52095664922617,Generalist,C,False
218705,Data Scientist,12,43,HBO,7.569581987717929,Agent-based modelling,A,False
171852,Data Engineer,5,40,WO,8.333197915170846,Data storage,B,False
42471,Staf,4,43,HBO,7.240801234398818,Other,C,False
178595,DevOps Engineer,14,39,PhD,7.346270268480698,ML-Ops,A,False
229886,Data Scientist,7,52,WO,7.791859376360823,Generalist,A,False
149601,Data Scientist,11,38,PhD,7.389242373724479,Generalist,A,False
65899,Staf,2,29,MBO,6.129949887482282,Other,C,False
127171,Data Scientist,9,36,MBO,7.227371263734072,Agent-based modelling,B,False
122441,Data Engineer,6,56,MBO,6.210064831457232,Generalist,A,False
137171,Data Engineer,8,31,MBO,5.249534150001995,Generalist,B,False
239780,Staf,7,35,MBO,8.09167644928119,Other,B,False
181528,Data Scientist,1,31,WO,7.288508336255849,Generalist,B,False
87384,Data Scientist,4,55,MBO,6.311628878165029,Generalist,B,False
23885,Data Scientist,4,41,WO,7.222398837650267,Vision,B,False
226647,Data Scientist,12,48,MBO,5.838815039229475,Vision,A,False
96650,Data Scientist,1,24,HBO,6.18963916207041,Agent-based modelling,B,False
208491,Staf,12,46,WO,9.897398034197554,Other,C,False
236953,Data Scientist,14,41,WO,8.733126867287428,Generalist,B,False
235988,DevOps Engineer,2,26,WO,7.453397139282833,ML-Ops,B,False
72175,DevOps Engineer,1,26,WO,6.941010517194423,ML-Ops,B,False
57073,Staf,4,48,PhD,7.284299293564574,Other,C,False
185436,Data Engineer,13,42,HBO,6.390312619607418,Data pipelines,B,False
207510,Data Scientist,4,27,PhD,7.268356182050457,Agent-based modelling,B,False
231172,Staf,12,44,HBO,7.599885496924184,Other,B,False
171138,Data Engineer,13,40,HBO,6.309239553451047,Data storage,B,False
52485,Data Scientist,9,32,HBO,6.558748648875715,Generalist,B,False
105150,Data Engineer,12,47,HBO,5.027753017922489,Generalist,A,False
15879,DevOps Engineer,1,30,WO,6.849836987264336,ML-Ops,B,False
157220,DevOps Engineer,5,39,MBO,6.915230658451726,ML-Ops,A,False
183586,Staf,7,36,MBO,8.102878725759128,Other,C,False
49706,Data Scientist,1,30,WO,6.8183477540645425,Structured data,B,False
118227,DevOps Engineer,14,38,MBO,7.083363401720178,ML-Ops,B,False
107897,Data Scientist,7,34,HBO,6.17389253307243,Generalist,A,False
91570,Staf,7,30,HBO,6.3401167565833045,Other,B,False
182740,Data Scientist,6,31,PhD,5.053098718061458,NLP,B,False
180747,Data Engineer,8,32,MBO,6.23307535265224,Data pipelines,C,False
155742,Data Engineer,5,31,WO,6.460733605261403,Data pipelines,B,False
200595,Data Scientist,11,41,PhD,8.951987285050226,Generalist,B,False
198248,DevOps Engineer,2,25,MBO,6.622766612711923,ML-Ops,B,False
12653,Data Scientist,13,40,MBO,7.7291438931661745,Agent-based modelling,B,False
152984,DevOps Engineer,14,45,HBO,8.016993810107614,ML-Ops,B,False
91199,Data Scientist,9,32,PhD,5.32598697189392,Geo,B,False
163476,Data Engineer,2,43,PhD,7.4461183708297956,Generalist,B,False
52723,Data Engineer,4,27,HBO,7.016155670617451,Generalist,B,False
215586,Staf,10,40,HBO,4.4784308637705,Other,A,False
234445,Staf,7,30,MBO,6.699000259575861,Other,B,False
84249,DevOps Engineer,2,28,WO,7.502207458814048,ML-Ops,B,False
127233,Staf,1,24,WO,5.661889564050811,Other,C,False
195436,Data Scientist,14,57,MBO,5.965573626805087,Vision,A,False
41053,Data Engineer,1,24,WO,6.600262285622206,Data pipelines,B,False
149058,Data Scientist,7,32,PhD,4.623558981711271,Structured data,C,False
23388,Data Scientist,7,53,MBO,5.5945271728985855,NLP,B,False
127680,DevOps Engineer,9,32,MBO,6.829928673737009,ML-Ops,B,False
79933,DevOps Engineer,2,35,PhD,6.912023394323506,ML-Ops,A,False
115395,Data Scientist,5,43,MBO,6.897192692708078,Generalist,B,False
213192,Staf,8,50,PhD,7.601147332241481,Other,B,False
136450,Data Scientist,11,34,PhD,9.668854502063123,Geo,B,False
113073,DevOps Engineer,4,27,MBO,4.698535743304985,ML-Ops,A,False
172221,Data Engineer,1,24,MBO,5.669834295213067,Data pipelines,C,False
108048,Staf,0,23,MBO,6.781483432643983,Other,B,False
48961,Data Scientist,10,37,WO,7.8247532404539095,NLP,B,False
127833,DevOps Engineer,11,36,PhD,6.60915718794047,ML-Ops,A,False
87908,Staf,1,24,PhD,6.998424038738846,Other,B,False
14607,Staf,11,35,HBO,6.99480402647022,Other,C,False
151613,Data Engineer,6,38,MBO,6.935479775426376,Data pipelines,B,False
157170,Staf,0,23,PhD,6.24298977195743,Other,B,False
140480,DevOps Engineer,1,42,MBO,6.915879816958348,ML-Ops,B,False
30464,Staf,6,36,WO,8.36166314557828,Other,A,False
43691,Data Scientist,2,25,MBO,7.450566722944608,Generalist,A,False
30679,DevOps Engineer,4,27,WO,7.558588543060732,ML-Ops,B,False
68644,Data Engineer,3,33,PhD,6.539241390151044,Data storage,B,False
223622,DevOps Engineer,6,43,PhD,7.2382809050864685,ML-Ops,B,False
114917,Data Scientist,4,27,HBO,6.844699562062783,Structured data,B,False
158588,Data Engineer,4,50,WO,5.173204496586775,Data storage,B,False
33219,Data Scientist,11,48,HBO,8.323261673833953,Agent-based modelling,A,False
134432,Staf,8,49,MBO,5.757988612050017,Other,B,False
86276,DevOps Engineer,3,59,WO,6.005268115263908,ML-Ops,B,False
74722,DevOps Engineer,3,45,MBO,7.041990781126002,ML-Ops,B,False
51605,Data Scientist,3,31,WO,7.711518039183683,Structured data,B,False
72185,Staf,20,43,HBO,7.6362027865234845,Other,A,False
123625,Staf,1,36,WO,6.513389588270249,Other,B,False
158400,Data Engineer,1,24,HBO,7.841902608737834,Generalist,B,False
196461,DevOps Engineer,7,34,WO,7.93399589173271,ML-Ops,C,False
88450,DevOps Engineer,0,23,MBO,6.805467299132473,ML-Ops,B,False
115175,Data Scientist,5,29,HBO,7.293123449657086,Vision,B,False
149603,Data Scientist,6,33,MBO,7.388798185957844,Structured data,A,False
57750,Data Scientist,7,43,WO,7.640776869459516,Agent-based modelling,A,False
29082,DevOps Engineer,9,32,MBO,7.553910679807949,ML-Ops,B,False
239613,DevOps Engineer,10,33,PhD,7.815519823695147,ML-Ops,B,False
79002,Data Scientist,5,28,MBO,6.327050244922459,Generalist,A,False
78019,Data Scientist,11,34,WO,6.927381870491075,Agent-based modelling,B,False
20093,DevOps Engineer,2,50,MBO,7.927722394894863,ML-Ops,A,False
103562,Data Engineer,13,39,MBO,7.81517938463299,Data storage,B,False
117920,Data Scientist,18,44,HBO,6.7003219407082435,Structured data,B,False
227435,Data Scientist,1,36,WO,7.3330830024462665,Agent-based modelling,B,False
145579,Data Scientist,9,46,WO,7.796385363704943,Generalist,B,False
44563,DevOps Engineer,2,49,WO,6.519007495544546,ML-Ops,A,False
118137,DevOps Engineer,7,38,WO,8.92684660019373,ML-Ops,B,False
83359,Data Engineer,1,30,HBO,8.261343403341398,Generalist,B,False
209680,Data Engineer,17,40,MBO,8.544088530972907,Data storage,B,False
190684,DevOps Engineer,5,28,HBO,8.517838362665291,ML-Ops,B,False
24343,Data Scientist,5,28,WO,6.5897246137153545,Generalist,C,False
46275,DevOps Engineer,4,27,HBO,6.764260047253925,ML-Ops,A,False
76251,Data Scientist,10,33,WO,8.198380966954193,Geo,C,False
172113,Staf,5,28,WO,6.923143224777684,Other,A,False
94262,Data Scientist,5,28,MBO,3.7121797270711063,NLP,A,False
176561,Data Scientist,13,40,MBO,7.005894932680816,Agent-based modelling,B,False
222776,Data Engineer,6,34,MBO,6.966159670738624,Data pipelines,B,False
59395,Data Scientist,7,30,HBO,7.788756655025296,Geo,B,False
217100,Data Engineer,1,24,HBO,5.9369223627357,Generalist,A,False
228813,Data Scientist,3,39,HBO,7.13708062877274,NLP,B,False
215276,Staf,5,28,MBO,8.510147024951955,Other,B,False
42137,Data Scientist,12,35,HBO,8.169470400715323,Structured data,B,False
127025,Data Engineer,9,39,WO,9.11993432021211,Data storage,B,False
229382,Data Scientist,1,24,MBO,5.357646809459325,Structured data,B,False
111767,Data Engineer,6,50,MBO,7.51692486109676,Data storage,A,False
52591,Data Scientist,15,43,MBO,7.997262248636428,Generalist,B,False
48922,Data Scientist,8,33,WO,6.534208005019403,NLP,A,False
107238,Data Scientist,12,42,HBO,9.391053814959834,Agent-based modelling,A,False
210123,DevOps Engineer,0,52,MBO,7.547311837705353,ML-Ops,A,False
62619,DevOps Engineer,0,23,HBO,7.488234621529092,ML-Ops,B,False
185850,Data Scientist,2,37,HBO,5.669389020920195,Vision,A,False
142431,Data Engineer,7,34,WO,5.46670611236898,Data pipelines,A,False
23470,DevOps Engineer,3,49,WO,6.256886000922548,ML-Ops,B,False
191758,Data Scientist,1,50,PhD,7.126915071504905,NLP,A,False
235449,DevOps Engineer,6,43,HBO,7.429275023677918,ML-Ops,A,False
215460,Data Engineer,3,44,PhD,8.208625849626026,Data pipelines,B,False
64801,Data Scientist,1,25,PhD,7.456367809950417,NLP,A,False
123367,Data Scientist,6,29,PhD,6.333690652604082,Agent-based modelling,B,False
25831,Data Scientist,5,28,HBO,7.755217934031131,Structured data,A,False
118610,Data Scientist,10,40,PhD,7.941989301479727,NLP,A,False
196500,Data Scientist,8,31,MBO,5.205968673334352,Agent-based modelling,A,False
108665,DevOps Engineer,1,40,MBO,8.006188307110442,ML-Ops,B,False
14678,Data Scientist,0,23,MBO,7.583050345672033,Agent-based modelling,B,False
146369,Data Scientist,5,45,HBO,7.359524425125624,Vision,B,False
133110,Data Scientist,0,23,PhD,7.207162732972978,Vision,B,False
194351,Data Scientist,7,34,HBO,7.9873758770543635,Structured data,C,False
91117,Staf,9,39,PhD,7.133400374107428,Other,B,False
127298,Data Scientist,4,27,PhD,6.7470442464081355,Generalist,A,False
27998,Staf,5,30,WO,8.226673327045479,Other,B,False
180746,Data Scientist,12,35,HBO,8.187764703741042,Generalist,B,False
53799,Staf,3,26,WO,7.674558458234288,Other,A,False
220825,Data Scientist,6,44,HBO,7.641061887423314,Generalist,B,False
51205,Data Engineer,1,24,MBO,7.719657997018363,Data storage,B,False
209802,DevOps Engineer,6,44,WO,8.586744720939828,ML-Ops,B,False
131308,Data Scientist,5,33,MBO,8.432109249759138,Generalist,B,False
178704,DevOps Engineer,6,39,PhD,6.2766543522863865,ML-Ops,B,False
167989,DevOps Engineer,1,35,PhD,5.700610971981197,ML-Ops,B,False
185195,Staf,3,35,PhD,6.862490417088463,Other,B,False
177941,Data Scientist,5,28,WO,7.008005854784606,Generalist,A,False
84018,Data Engineer,11,45,PhD,7.168882654755925,Data storage,B,False
63905,Data Scientist,12,36,MBO,7.07632447518998,Generalist,B,False
236938,Data Scientist,7,30,PhD,4.9317263854168845,Generalist,B,False
35582,Data Scientist,0,31,PhD,8.14931865651607,Geo,B,False
34499,DevOps Engineer,2,25,HBO,9.855044836412928,ML-Ops,A,False
106619,Staf,1,24,MBO,5.139055475602537,Other,B,False
85089,Data Engineer,6,40,PhD,5.360904432078136,Data storage,B,False
104398,DevOps Engineer,7,37,HBO,8.94739526369339,ML-Ops,B,False
42321,DevOps Engineer,5,36,MBO,5.361163881068105,ML-Ops,B,False
87651,Staf,10,46,PhD,6.927362726088318,Other,B,False
157975,Data Engineer,1,53,MBO,8.571918951360294,Generalist,B,False
217364,Data Scientist,0,23,MBO,7.751997584545754,Generalist,B,False
155783,Data Scientist,5,36,WO,6.178375055705223,Generalist,B,False
30487,Data Scientist,4,43,PhD,6.53888088338666,Geo,B,False
100555,Data Scientist,1,54,WO,7.762558428516186,Generalist,A,False
119164,DevOps Engineer,19,42,WO,7.537399437077902,ML-Ops,B,False
142246,Staf,1,28,WO,8.43831114252752,Other,A,True
160060,Staf,9,43,HBO,7.807016914966143,Other,A,False
195606,Data Scientist,9,32,MBO,7.2722247774699955,Agent-based modelling,A,False
116729,Data Scientist,7,31,PhD,7.112968986004145,Vision,B,False
77820,Data Scientist,2,53,MBO,6.500450744486355,Generalist,B,False
25966,Data Scientist,3,26,WO,6.877473746634726,Vision,A,False
79732,Data Scientist,7,35,MBO,6.770004652601307,Generalist,B,False
98054,Data Scientist,5,34,PhD,7.628445512131037,Geo,C,False
121332,Data Scientist,4,47,HBO,5.746787281152277,Structured data,A,False
85770,Data Scientist,12,43,MBO,4.880917931412931,Generalist,B,False
237458,Staf,12,35,PhD,8.298192784398049,Other,B,False
84415,Data Scientist,5,45,PhD,5.752641031965227,Geo,B,False
148482,Data Engineer,1,34,MBO,5.766862176526815,Data pipelines,B,False
213462,DevOps Engineer,5,40,MBO,5.725745809497715,ML-Ops,B,False
100369,Data Scientist,6,32,MBO,7.6317301194710705,Generalist,B,False
189192,Data Scientist,6,56,HBO,7.992604990763118,Structured data,A,False
215069,Staf,2,54,PhD,7.872314905784296,Other,B,False
12270,DevOps Engineer,7,30,PhD,6.306569126408055,ML-Ops,A,False
170976,Data Engineer,3,27,PhD,7.03986480741253,Generalist,B,False
72010,Staf,6,29,PhD,4.783505244915464,Other,C,False
39528,Data Scientist,9,32,HBO,4.746005756764543,Agent-based modelling,B,False
27736,DevOps Engineer,6,39,MBO,7.7385747607558555,ML-Ops,B,False
211885,DevOps Engineer,11,34,HBO,8.551943319494873,ML-Ops,B,False
19235,Data Scientist,1,46,HBO,9.13213294632133,Vision,B,False
93610,Data Engineer,15,38,WO,4.88576484817854,Data pipelines,B,False
199037,Data Scientist,9,38,PhD,7.230281293648192,NLP,B,False
230507,DevOps Engineer,0,44,PhD,7.260779862831504,ML-Ops,B,False
